Date,RH2M_L6,TMIN_L6,TMAX_L12,WS2M_L2,WD2M_L5,UVB_L1,CLOUD_AMT_L12,SOIL_W_L6,PRECT_TOTAL,SURFACE_P_L9,Cases_L1,Cases_L2,Cases_L3,Cases_L4,Cases_L5,Cases_L6,Cases_L7,Cases_L8,Cases_L9,Cases_L10,Cases_L11,Cases_L12,RH2M,WS2M,WD2M,CLOUD_AMT,SOIL_W,SURFACE_P,SH2M
2011-01-01,25.254117647058823,12.23,25.55,2.6094117647058823,202.0517647058824,0.1335294117647059,36.21764705882353,0.1758823529411765,19.234117647058824,83.46411764705881,57.0,27.0,16.0,7.0,4.0,4.0,10.0,17.0,20.0,48.0,54.0,71.0,52.42176470588235,2.084705882352941,256.37470588235294,28.95117647058824,0.4217647058823529,83.68470588235293,3.515882352941176
2011-02-01,29.61588235294117,7.79,26.46,2.9323529411764704,239.25941176470587,0.1535294117647059,54.17058823529412,0.2558823529411764,5.894117647058824,83.56411764705882,63.0,57.0,27.0,16.0,7.0,4.0,4.0,10.0,17.0,20.0,48.0,54.0,47.09,2.4382352941176477,321.6758823529412,20.68235294117647,0.4335294117647059,83.90294117647058,3.087058823529412
2011-03-01,40.52647058823529,7.44,29.61,2.084705882352941,294.6976470588235,0.2235294117647059,42.922941176470594,0.2541176470588235,71.03470588235294,83.62058823529412,48.0,63.0,57.0,27.0,16.0,7.0,4.0,4.0,10.0,17.0,20.0,48.0,52.99588235294118,2.614117647058823,226.37529411764703,33.26529411764706,0.4911764705882352,83.44764705882353,3.945882352941176
2011-04-01,53.04117647058824,2.05,32.36,2.438235294117648,289.7476470588236,0.2941176470588235,47.584705882352935,0.3458823529411765,41.25764705882353,83.97294117647058,42.0,48.0,63.0,57.0,27.0,16.0,7.0,4.0,4.0,10.0,17.0,20.0,51.00705882352941,2.916470588235294,238.87,36.45470588235294,0.4994117647058824,83.44647058823529,5.442941176470589
2011-05-01,51.82764705882352,-0.14,34.27,2.614117647058823,232.17823529411763,0.3905882352941176,32.67235294117647,0.3317647058823529,60.17705882352941,84.02,17.0,42.0,48.0,63.0,57.0,27.0,16.0,7.0,4.0,4.0,10.0,17.0,55.92058823529412,2.7335294117647058,211.93058823529407,56.99588235294118,0.5223529411764706,83.71705882352941,7.1917647058823535
2011-06-01,59.057647058823534,-3.07,39.9,2.916470588235294,256.37470588235294,0.4088235294117647,14.901176470588236,0.4476470588235294,2.7905882352941176,83.90529411764706,15.0,17.0,42.0,48.0,63.0,57.0,27.0,16.0,7.0,4.0,4.0,10.0,41.216470588235296,2.557058823529412,163.2605882352941,37.45411764705882,0.4147058823529411,83.90705882352941,7.235294117647059
2011-07-01,52.42176470588235,-4.86,41.69,2.7335294117647058,321.6758823529412,0.5041176470588236,43.25705882352941,0.4217647058823529,0.0,83.6635294117647,8.0,15.0,17.0,42.0,48.0,63.0,57.0,27.0,16.0,7.0,4.0,4.0,24.93705882352941,2.796470588235294,294.54470588235296,27.15352941176471,0.1752941176470588,83.82882352941178,5.398823529411764
2011-08-01,47.09,-6.99,41.26,2.557058823529412,226.37529411764703,0.5170588235294118,41.83176470588235,0.4335294117647059,5.891176470588235,83.54470588235294,3.0,8.0,15.0,17.0,42.0,48.0,63.0,57.0,27.0,16.0,7.0,4.0,26.279411764705884,2.744705882352941,179.5529411764706,51.26823529411765,0.1841176470588235,83.97176470588235,6.158823529411765
2011-09-01,52.99588235294118,-6.56,38.48,2.796470588235294,238.87,0.4223529411764706,48.54764705882353,0.4911764705882352,0.0,83.53058823529412,3.0,3.0,8.0,15.0,17.0,42.0,48.0,63.0,57.0,27.0,16.0,7.0,28.335882352941177,2.7058823529411766,265.88176470588235,21.08529411764706,0.178235294117647,83.94882352941175,4.913529411764706
2011-10-01,51.00705882352941,-1.19,33.04,2.744705882352941,211.93058823529407,0.3999999999999999,33.4735294117647,0.4994117647058824,20.78411764705882,83.68470588235293,6.0,3.0,3.0,8.0,15.0,17.0,42.0,48.0,63.0,57.0,27.0,16.0,44.66470588235294,1.9235294117647064,252.2147058823529,40.13117647058824,0.2517647058823529,83.95176470588235,5.413529411764706
